restaurant_name,city,location,cuisine,cost_for_two,rating,restaurant_url,region
Desi Villagio,Delhi NCR,"Connaught Place (CP), Central Delhi",Indian,₹1300,4.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/desi-villagio-connaught-place-cp-central-delhi-121288?deal_types[]=postpaid,North India
Cafe Out of the Box Courtyard,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1200,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cafe-out-of-the-box-courtyard-connaught-place-cp-central-delhi-671982?deal_types[]=postpaid,North India
Hard Rock Cafe,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1500,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/hard-rock-cafes-connaught-place-cp-central-delhi-685031?deal_types[]=postpaid,North India
Sakura,Delhi NCR,"The Metropolitan Hotel & Spa, New Delhi","Japanese, Sushi",₹4500,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/sakura-the-metropolitan-hotel-spa-gole-market-111526?deal_types[]=postpaid,North India
Dr. Zombie,Delhi NCR,"Connaught Place (CP), Central Delhi","Italian, Cocktail Menu",₹1000,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/dr-zombie-connaught-place-cp-central-delhi-663209?deal_types[]=postpaid,North India
Shang Palace,Delhi NCR,Shangri-La Eros New Delhi,Chinese,₹3000,4.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/shang-palace-shangri-la-s-eros-hotel-connaught-place-cp-612517?deal_types[]=postpaid,North India
Fifty9,Delhi NCR,"Radisson Blu Marina, New Delhi",Multicuisine,₹2500,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/fifty9-radisson-blu-marina-connaught-place-cp-111309?deal_types[]=postpaid,North India
The Imperial Spice,Delhi NCR,"Connaught Place (CP), Central Delhi","Continental, North Indian",₹2000,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/the-imperial-spice-connaught-place-cp-central-delhi-656222?deal_types[]=postpaid,North India
Barista Coffee,Delhi NCR,"Shivaji Stadium Metro Station, Connaught Place (CP), Central Delhi","Coffee, Cafe",₹500,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/barista-coffee-connaught-place-cp-central-delhi-707255,North India
Sorrento,Delhi NCR,Shangri-La Eros New Delhi,Italian,₹3000,4.6,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/sorrento-shangri-la-s-eros-hotel-connaught-place-cp-612514?deal_types[]=postpaid,North India
Zing,Delhi NCR,"The Metropolitan Hotel & Spa, New Delhi",Multicuisine,₹3500,1.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/zing-the-metropolitan-hotel-spa-gole-market-112071?deal_types[]=postpaid,North India
Punjab Grill,Delhi NCR,"Janpath, Connaught Place (CP), Central Delhi",North Indian,₹2000,4.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/punjab-grill-janpath-connaught-place-cp-central-delhi-662612?deal_types[]=postpaid,North India
"Chutney, Bar + Tandoor",Delhi NCR,"The Metropolitan Hotel & Spa, New Delhi",Indian,₹3000,3.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/chutney-bar-tandoor-the-metropolitan-hotel-spa-gole-market-112287?deal_types[]=postpaid,North India
Biryani By Kilo,Delhi NCR,"Connaught Place (CP), Central Delhi",Biryani,₹700,4.6,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/biryani-by-kilo-connaught-place-cp-central-delhi-672093?deal_types[]=postpaid,North India
Lord of the Drinks,Delhi NCR,"Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",₹1800,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/lord-of-the-drinks-connaught-place-121379?deal_types[]=postpaid,North India
Lazeez Affaire,Delhi NCR,"Connaught Place (CP), Central Delhi",North Indian,₹1600,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/lazeez-affaire-connaught-place-cp-central-delhi-648245?deal_types[]=postpaid,North India
The Immigrant Cafe,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1200,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cafe-immigrant-cannaught-place-121253?deal_types[]=postpaid,North India
Openhouse Cafe,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹2000,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/open-house-connaught-place-cp-new-delhi-121323?deal_types[]=postpaid,North India
Themis Barbecue House,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹2400,4.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/themis-barbecue-house-connaught-place-cp-central-delhi-708077?deal_types[]=postpaid,North India
Somewhere Restaurant & Bar,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1500,4.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/somewhere-restaurant-bar-connaught-place-cp-central-delhi-683261?deal_types[]=postpaid,North India
Yeti-The Himalayan Kitchen,Delhi NCR,"Connaught Place (CP), Central Delhi","Chinese, Nepalese, Tibetan",₹1200,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/oddly-yeti-connaught-place-cp-central-delhi-672266?deal_types[]=postpaid,North India
Plum Coffee & Cocktails,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹2000,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/plum-coffee-cocktails-connaught-place-cp-central-delhi-692176?deal_types[]=postpaid,North India
Moti Mahal,Delhi NCR,"Connaught Place (CP), Central Delhi",North Indian,₹1500,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/moti-mahal-connaught-place-cp-central-delhi-704454?deal_types[]=postpaid,North India
